cell_id,ev_Antes,ev_Despues,pa_Antes,pa_Despues,tasa_antes,tasa_despues,delta_tasa,esperado,exceso
10_6,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_60,3,7,295,271,0.010169491525423728,0.025830258302583026,0.0156607667771593,2.7559322033898304,4.244067796610169
10_61,5,1,221,206,0.02262443438914027,0.0048543689320388345,-0.017770065457101435,4.660633484162896,-3.6606334841628962
10_62,2,3,293,240,0.006825938566552901,0.0125,0.0056740614334471,1.6382252559726962,1.3617747440273038
10_63,4,3,221,207,0.01809954751131222,0.014492753623188406,-0.003606793888123813,3.7466063348416294,-0.7466063348416294
10_64,0,3,221,207,0.0,0.014492753623188406,0.014492753623188406,0.0,3.0
10_65,0,2,148,140,0.0,0.014285714285714285,0.014285714285714285,0.0,2.0
10_66,1,4,148,140,0.006756756756756757,0.02857142857142857,0.021814671814671813,0.945945945945946,3.054054054054054
10_67,5,7,149,140,0.03355704697986577,0.05,0.01644295302013423,4.697986577181208,2.302013422818792
10_68,5,3,148,140,0.033783783783783786,0.02142857142857143,-0.012355212355212357,4.72972972972973,-1.7297297297297298
10_69,5,7,148,140,0.033783783783783786,0.05,0.016216216216216217,4.72972972972973,2.27027027027027
10_7,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_70,20,19,148,140,0.13513513513513514,0.1357142857142857,0.0005791505791505613,18.91891891891892,0.0810810810810807
10_71,0,0,148,140,0.0,0.0,0.0,0.0,0.0
10_72,0,0,148,144,0.0,0.0,0.0,0.0,0.0
10_73,0,0,148,140,0.0,0.0,0.0,0.0,0.0
10_74,0,0,148,140,0.0,0.0,0.0,0.0,0.0
10_75,0,0,223,208,0.0,0.0,0.0,0.0,0.0
10_76,0,0,223,208,0.0,0.0,0.0,0.0,0.0
10_77,0,0,298,238,0.0,0.0,0.0,0.0,0.0
10_8,0,0,224,98,0.0,0.0,0.0,0.0,0.0
10_9,0,0,150,70,0.0,0.0,0.0,0.0,0.0
11_0,0,0,77,40,0.0,0.0,0.0,0.0,0.0
11_1,0,0,77,40,0.0,0.0,0.0,0.0,0.0
11_10,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_11,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_12,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_13,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_14,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_15,0,0,150,67,0.0,0.0,0.0,0.0,0.0
11_16,0,0,222,99,0.0,0.0,0.0,0.0,0.0
11_17,0,0,149,102,0.0,0.0,0.0,0.0,0.0
11_18,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_19,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_2,0,0,77,40,0.0,0.0,0.0,0.0,0.0
11_20,0,0,149,141,0.0,0.0,0.0,0.0,0.0
11_21,0,0,149,141,0.0,0.0,0.0,0.0,0.0
11_22,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_23,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_24,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_25,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_26,0,0,224,168,0.0,0.0,0.0,0.0,0.0
11_27,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_28,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_29,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_3,0,0,77,44,0.0,0.0,0.0,0.0,0.0
11_30,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_31,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_32,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_33,0,0,223,169,0.0,0.0,0.0,0.0,0.0
11_34,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_35,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_36,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_37,0,0,149,137,0.0,0.0,0.0,0.0,0.0
11_38,0,0,149,175,0.0,0.0,0.0,0.0,0.0
11_39,0,0,149,171,0.0,0.0,0.0,0.0,0.0
11_4,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_40,0,0,149,136,0.0,0.0,0.0,0.0,0.0
11_41,0,0,149,136,0.0,0.0,0.0,0.0,0.0
11_42,0,0,149,171,0.0,0.0,0.0,0.0,0.0
11_43,0,0,224,171,0.0,0.0,0.0,0.0,0.0
11_44,0,0,149,140,0.0,0.0,0.0,0.0,0.0
11_45,0,0,149,176,0.0,0.0,0.0,0.0,0.0
11_46,0,0,153,177,0.0,0.0,0.0,0.0,0.0
11_47,0,0,221,204,0.0,0.0,0.0,0.0,0.0
11_48,0,0,221,204,0.0,0.0,0.0,0.0,0.0
11_49,0,0,221,204,0.0,0.0,0.0,0.0,0.0
11_5,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_50,0,0,223,209,0.0,0.0,0.0,0.0,0.0
11_51,2,1,293,236,0.006825938566552901,0.00423728813559322,-0.0025886504309596808,1.6109215017064846,-0.6109215017064846
11_52,0,0,221,204,0.0,0.0,0.0,0.0,0.0
11_53,4,5,221,204,0.01809954751131222,0.024509803921568627,0.006410256410256408,3.6923076923076925,1.3076923076923075
11_54,8,9,221,204,0.03619909502262444,0.04411764705882353,0.007918552036199095,7.384615384615385,1.615384615384615
11_55,5,4,221,208,0.02262443438914027,0.019230769230769232,-0.003393665158371039,4.705882352941177,-0.7058823529411766
11_56,0,1,221,239,0.0,0.0041841004184100415,0.0041841004184100415,0.0,1.0
11_57,1,1,221,205,0.004524886877828055,0.004878048780487805,0.00035316190265975017,0.9276018099547512,0.07239819004524883
11_58,9,9,221,205,0.04072398190045249,0.04390243902439024,0.0031784571239377515,8.34841628959276,0.6515837104072393
11_59,4,5,221,277,0.01809954751131222,0.018050541516245487,-4.900599506673167e-05,5.013574660633485,-0.013574660633485003
11_6,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_60,8,3,295,236,0.02711864406779661,0.012711864406779662,-0.014406779661016948,6.3999999999999995,-3.3999999999999995
11_61,3,2,296,241,0.010135135135135136,0.008298755186721992,-0.001836379948413144,2.4425675675675675,-0.44256756756756754
11_62,3,2,293,240,0.010238907849829351,0.008333333333333333,-0.001905574516496018,2.4573378839590445,-0.4573378839590445
11_63,3,6,222,207,0.013513513513513514,0.028985507246376812,0.015471993732863298,2.7972972972972974,3.2027027027027026
11_64,3,2,222,207,0.013513513513513514,0.00966183574879227,-0.003851677764721244,2.7972972972972974,-0.7972972972972974
11_65,2,4,221,207,0.00904977375565611,0.01932367149758454,0.01027389774192843,1.8733031674208147,2.126696832579185
11_66,6,4,221,207,0.027149321266968326,0.01932367149758454,-0.007825649769383786,5.619909502262444,-1.619909502262444
11_67,2,7,222,207,0.009009009009009009,0.033816425120772944,0.024807416111763937,1.864864864864865,5.135135135135135
11_68,17,17,294,239,0.05782312925170068,0.07112970711297072,0.013306577861270034,13.819727891156463,3.1802721088435373
11_69,18,16,221,207,0.08144796380090498,0.07729468599033816,-0.004153277810566819,16.85972850678733,-0.8597285067873308
11_7,0,0,149,67,0.0,0.0,0.0,0.0,0.0
11_70,18,13,242,247,0.0743801652892562,0.05263157894736842,-0.021748586341887782,18.371900826446282,-5.371900826446282
11_71,6,7,223,209,0.026905829596412557,0.03349282296650718,0.006586993370094621,5.623318385650225,1.376681614349775
11_72,0,0,296,242,0.0,0.0,0.0,0.0,0.0
11_73,0,0,224,212,0.0,0.0,0.0,0.0,0.0
11_74,0,0,224,208,0.0,0.0,0.0,0.0,0.0
11_75,0,0,223,208,0.0,0.0,0.0,0.0,0.0
11_76,0,0,223,208,0.0,0.0,0.0,0.0,0.0
11_77,0,0,223,208,0.0,0.0,0.0,0.0,0.0
11_8,0,0,224,98,0.0,0.0,0.0,0.0,0.0
11_9,0,0,224,98,0.0,0.0,0.0,0.0,0.0
12_0,0,0,77,40,0.0,0.0,0.0,0.0,0.0
12_1,0,0,77,40,0.0,0.0,0.0,0.0,0.0
12_10,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_11,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_12,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_13,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_14,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_15,0,0,150,67,0.0,0.0,0.0,0.0,0.0
12_16,0,0,223,99,0.0,0.0,0.0,0.0,0.0
12_17,0,0,149,102,0.0,0.0,0.0,0.0,0.0
12_18,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_19,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_2,0,0,77,40,0.0,0.0,0.0,0.0,0.0
12_20,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_21,0,0,149,141,0.0,0.0,0.0,0.0,0.0
12_22,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_23,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_24,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_25,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_26,0,0,224,168,0.0,0.0,0.0,0.0,0.0
12_27,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_28,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_29,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_3,0,0,77,44,0.0,0.0,0.0,0.0,0.0
12_30,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_31,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_32,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_33,0,0,223,169,0.0,0.0,0.0,0.0,0.0
12_34,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_35,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_36,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_37,0,0,149,137,0.0,0.0,0.0,0.0,0.0
12_38,0,0,149,141,0.0,0.0,0.0,0.0,0.0
12_39,0,0,149,171,0.0,0.0,0.0,0.0,0.0
12_4,0,0,149,71,0.0,0.0,0.0,0.0,0.0
12_40,0,0,149,136,0.0,0.0,0.0,0.0,0.0
12_41,0,0,149,136,0.0,0.0,0.0,0.0,0.0
12_42,0,0,149,171,0.0,0.0,0.0,0.0,0.0
12_43,0,0,224,171,0.0,0.0,0.0,0.0,0.0
12_44,0,0,149,142,0.0,0.0,0.0,0.0,0.0
12_45,0,0,149,176,0.0,0.0,0.0,0.0,0.0
12_46,0,0,221,204,0.0,0.0,0.0,0.0,0.0
12_47,0,0,221,204,0.0,0.0,0.0,0.0,0.0
12_48,0,0,221,204,0.0,0.0,0.0,0.0,0.0
12_49,0,1,221,204,0.0,0.004901960784313725,0.004901960784313725,0.0,1.0
12_5,0,0,149,67,0.0,0.0,0.0,0.0,0.0
12_50,8,5,295,236,0.02711864406779661,0.0211864406779661,-0.005932203389830509,6.3999999999999995,-1.3999999999999995
12_51,5,15,293,231,0.017064846416382253,0.06493506493506493,0.04787021851868267,3.9419795221843006,11.058020477815699
12_52,12,10,221,204,0.05429864253393665,0.049019607843137254,-0.005279034690799399,11.076923076923077,-1.0769230769230766
12_53,1,6,221,204,0.004524886877828055,0.029411764705882353,0.024886877828054297,0.9230769230769231,5.076923076923077
12_54,1,3,221,204,0.004524886877828055,0.014705882352941176,0.01018099547511312,0.9230769230769231,2.0769230769230766
12_55,5,9,221,208,0.02262443438914027,0.04326923076923077,0.020644796380090497,4.705882352941177,4.294117647058823
12_56,3,1,221,239,0.013574660633484163,0.0041841004184100415,-0.009390560215074121,3.244343891402715,-2.244343891402715
12_57,12,9,221,205,0.05429864253393665,0.04390243902439024,-0.010396203509546412,11.131221719457013,-2.131221719457013
12_58,31,46,221,205,0.14027149321266968,0.22439024390243903,0.08411875068976934,28.755656108597286,17.244343891402714
12_59,36,40,221,277,0.16289592760180996,0.1444043321299639,-0.018491595471846062,45.12217194570136,-5.122171945701361
