slick_id,s1_timestamp,s2_image_id,s2_timestamp,desfase_horas,nubes_pct,machine_confidence,area_km2,lon,lat,slick_url,n_candidatas_s2
5033813,2026-06-23 02:14:49+00:00,COPERNICUS/S2_SR_HARMONIZED/20260624T065619_20260624T070809_T40RBP,2026-06-24 07:12:23.781000+00:00,28.96,18.35,0.9982,9.01,54.63978321882425,25.80348202195139,https://cerulean.skytruth.org/slicks/5033813?ref=api&slick_id=5033813,2
4425424,2025-10-01 02:14:08+00:00,COPERNICUS/S2_SR_HARMONIZED/20251002T065731_20251002T070449_T39RZJ,2025-10-02 07:12:41.507000+00:00,28.98,0.01,0.9994,29.05,55.16778954132417,26.06964382711119,https://cerulean.skytruth.org/slicks/4425424?ref=api&slick_id=4425424,5
4997819,2026-06-06 14:41:38+00:00,COPERNICUS/S2_SR_HARMONIZED/20260605T071621_20260605T072951_T39RUM,2026-06-05 07:31:49.442000+00:00,31.16,0.01,0.9992,39.14,49.9809608979258,28.750503970585825,https://cerulean.skytruth.org/slicks/4997819?ref=api&slick_id=4997819,2
4390537,2025-09-14 14:41:28+00:00,COPERNICUS/S2_SR_HARMONIZED/20250913T071619_20250913T072210_T39RUN,2025-09-13 07:31:34.911000+00:00,31.16,0.0,0.9998,13.31,49.52585607773953,29.322910349957265,https://cerulean.skytruth.org/slicks/4390537?ref=api&slick_id=4390537,1
3919742,2025-04-24 14:33:41+00:00,COPERNICUS/S2_SR_HARMONIZED/20250423T070619_20250423T071902_T39RXK,2025-04-23 07:22:14.333000+00:00,31.19,2.84,0.9988,9.28,52.68818118013101,26.70495348433059,https://cerulean.skytruth.org/slicks/3919742?ref=api&slick_id=3919742,1
3650815,2023-04-28 14:42:43+00:00,COPERNICUS/S2_SR_HARMONIZED/20230427T071619_20230427T071849_T39RVN,2023-04-27 07:31:31.809000+00:00,31.19,4.5,0.9966,31.9,50.36421867758328,29.615516008666045,https://cerulean.skytruth.org/slicks/3650815?ref=api&slick_id=3650815,1
3612710,2023-09-09 14:25:16+00:00,COPERNICUS/S2_SR_HARMONIZED/20230908T065629_20230908T070652_T39RZJ,2023-09-08 07:12:30.303000+00:00,31.21,0.01,0.9993,10.94,54.84349667958718,25.334827766859892,https://cerulean.skytruth.org/slicks/3612710?ref=api&slick_id=3612710,8
5040656,2026-06-25 14:25:17+00:00,COPERNICUS/S2_SR_HARMONIZED/20260624T065619_20260624T070809_T39RYJ,2026-06-24 07:12:27.760000+00:00,31.21,0.0,0.9988,21.08,53.8255719576976,26.135944585269776,https://cerulean.skytruth.org/slicks/5040656?ref=api&slick_id=5040656,2
5076606,2026-07-09 14:16:26+00:00,COPERNICUS/S2_SR_HARMONIZED/20260708T065321_20260708T070104_T40RDQ,2026-07-08 07:02:23.953000+00:00,31.23,19.43,0.9978,13.09,56.38854708987127,26.604146025409545,https://cerulean.skytruth.org/slicks/5076606?ref=api&slick_id=5076606,1
4416146,2025-09-26 14:40:38+00:00,COPERNICUS/S2_SR_HARMONIZED/20250925T070641_20250925T071534_T39RVK,2025-09-25 07:22:35.323000+00:00,31.3,0.1,0.9964,26.68,50.49271481765938,26.438066375251,https://cerulean.skytruth.org/slicks/4416146?ref=api&slick_id=4416146,1
4281542,2025-07-28 14:41:01+00:00,COPERNICUS/S2_SR_HARMONIZED/20250727T070751_20250727T071940_T39RVM,2025-07-27 07:22:13.590000+00:00,31.31,0.03,0.9977,19.96,50.81669876044696,27.969583004887827,https://cerulean.skytruth.org/slicks/4281542?ref=api&slick_id=4281542,2
4309625,2025-08-09 14:41:02+00:00,COPERNICUS/S2_SR_HARMONIZED/20250808T071321_20250808T071343_T39RVM,2025-08-08 07:22:06.308000+00:00,31.32,18.75,0.9991,9.86,50.203024173361165,28.24697131296177,https://cerulean.skytruth.org/slicks/4309625?ref=api&slick_id=4309625,1
3877085,2025-03-19 14:32:51+00:00,COPERNICUS/S2_SR_HARMONIZED/20250318T070321_20250318T071214_T39RXH,2025-03-18 07:12:59.651000+00:00,31.33,0.01,0.9973,14.01,52.47877146856062,24.248379085521197,https://cerulean.skytruth.org/slicks/3877085?ref=api&slick_id=3877085,2
4957566,2026-05-24 14:41:27+00:00,COPERNICUS/S2_SR_HARMONIZED/20260523T070621_20260523T071813_T39RVM,2026-05-23 07:21:49.535000+00:00,31.33,0.08,0.9975,14.96,50.25449757126739,28.37646332894079,https://cerulean.skytruth.org/slicks/4957566?ref=api&slick_id=4957566,2
3456938,2024-03-12 14:33:23+00:00,COPERNICUS/S2_SR_HARMONIZED/20240311T065701_20240311T070933_T39RYJ,2024-03-11 07:12:29.859000+00:00,31.35,1.63,0.9993,18.61,54.12743249272204,25.73898928533156,https://cerulean.skytruth.org/slicks/3456938?ref=api&slick_id=3456938,3
3715806,2023-01-17 14:33:18+00:00,COPERNICUS/S2_SR_HARMONIZED/20230116T070231_20230116T070226_T39RYJ,2023-01-16 07:12:25.924000+00:00,31.35,0.0,0.9952,53.31,52.98456437463077,25.56946551587956,https://cerulean.skytruth.org/slicks/3715806?ref=api&slick_id=3715806,2
3611339,2024-03-19 14:25:13+00:00,COPERNICUS/S2_SR_HARMONIZED/20240318T064621_20240318T065905_T40RCP,2024-03-18 07:02:27.360000+00:00,31.38,8.57,0.9955,12.95,55.481561617572005,26.039801706786022,https://cerulean.skytruth.org/slicks/3611339?ref=api&slick_id=3611339,1
