cell_id,mes,u10,v10,wind_speed
39_17,2026-02,-0.5971737,-0.6586117,3.9086883
39_17,2026-03,-1.436834,-2.0002995,5.1022706
39_17,2026-04,-0.4674816,-3.4141018,5.198073
39_17,2026-05,1.127246,-3.286998,4.849693
39_17,2026-06,1.636129,-3.5167613,4.784276
39_17,2026-07,0.8718066,-1.6822612,3.7492
39_17,2026-08,-1.6556275,0.22566973,2.7766728
39_18,2023-01,0.66089964,-2.2025423,4.6616426
39_18,2023-02,0.33814254,-1.7619514,5.578773
39_18,2023-03,-0.21652395,-1.483468,4.0826488
39_18,2023-04,0.58342797,-1.6258279,4.367782
39_18,2023-05,0.3358142,-2.4288623,4.264004
39_18,2023-06,2.0537553,-3.8515172,5.1553006
39_18,2023-07,0.51213837,-2.3469536,3.7355978
39_18,2023-08,-1.1757114,-0.67588854,3.4125216
39_18,2023-09,-0.2919187,-1.9128593,3.5697443
39_18,2023-10,0.036831763,-1.9860802,3.3657315
39_18,2023-11,0.64976805,-2.4366734,3.989429
39_18,2023-12,1.2148205,-2.110459,3.7808194
39_18,2024-01,1.0687201,-1.6031549,4.6454353
39_18,2024-02,0.9502682,-3.2409341,5.4523787
39_18,2024-03,-0.31072482,-2.1405513,4.7652416
39_18,2024-04,-0.75567,-1.2327409,3.9643683
39_18,2024-05,-0.004717919,-2.0288725,5.4853387
39_18,2024-06,-0.08078637,-1.2691134,3.4869006
39_18,2024-07,1.9832903,-2.9257078,4.643138
39_18,2024-08,-1.0708683,-1.3563405,3.8579593
39_18,2024-09,-0.3662875,-1.7167968,3.1320946
39_18,2024-10,-0.2520682,-2.4378052,4.2522917
39_18,2024-11,1.1877693,-2.6233277,4.2397966
39_18,2024-12,2.2008622,-2.3751688,4.2266374
39_18,2025-01,2.244617,-3.1610596,4.5739884
39_18,2025-02,0.69893867,-3.417664,5.3945913
39_18,2025-03,-0.17191806,-2.8506675,5.268562
39_18,2025-04,0.0048830668,-1.9857684,4.6206746
39_18,2025-05,1.4462941,-2.9020169,4.676393
39_18,2025-06,2.31109,-3.565734,5.627692
39_18,2025-07,1.4116333,-2.9674284,4.7183175
39_18,2025-08,-1.5015304,-0.65459037,3.4536057
39_18,2025-09,0.2920789,-2.8777406,4.148274
39_18,2025-10,0.56544065,-2.1263638,3.3205478
39_18,2025-11,0.81547815,-2.5492768,3.6930776
39_18,2025-12,0.26329997,-1.1363186,3.7889261
39_18,2026-01,1.7536504,-1.883256,4.6863
39_18,2026-02,-0.4278709,-0.8508376,4.0412836
39_18,2026-03,-1.1240112,-2.1495876,5.095058
39_18,2026-04,0.037474442,-3.643716,5.323694
39_18,2026-05,1.6368856,-3.8436625,5.286403
39_18,2026-06,2.0554893,-3.9633434,5.1853266
39_18,2026-07,1.1666261,-2.0841563,4.0327215
39_18,2026-08,-1.4978149,-0.28933382,2.984188
39_19,2023-01,0.66089964,-2.2025423,4.6616426
39_19,2023-02,0.33814254,-1.7619514,5.578773
39_19,2023-03,-0.21652395,-1.483468,4.0826488
39_19,2023-04,0.58342797,-1.6258279,4.367782
39_19,2023-05,0.3358142,-2.4288623,4.264004
39_19,2023-06,2.0537553,-3.8515172,5.1553006
39_19,2023-07,0.51213837,-2.3469536,3.7355978
39_19,2023-08,-1.1757114,-0.67588854,3.4125216
39_19,2023-09,-0.2919187,-1.9128593,3.5697443
39_19,2023-10,0.036831763,-1.9860802,3.3657315
39_19,2023-11,0.64976805,-2.4366734,3.989429
39_19,2023-12,1.2148205,-2.110459,3.7808194
39_19,2024-01,1.0687201,-1.6031549,4.6454353
39_19,2024-02,0.9502682,-3.2409341,5.4523787
39_19,2024-03,-0.31072482,-2.1405513,4.7652416
39_19,2024-04,-0.75567,-1.2327409,3.9643683
39_19,2024-05,-0.004717919,-2.0288725,5.4853387
39_19,2024-06,-0.08078637,-1.2691134,3.4869006
39_19,2024-07,1.9832903,-2.9257078,4.643138
39_19,2024-08,-1.0708683,-1.3563405,3.8579593
39_19,2024-09,-0.3662875,-1.7167968,3.1320946
39_19,2024-10,-0.2520682,-2.4378052,4.2522917
39_19,2024-11,1.1877693,-2.6233277,4.2397966
39_19,2024-12,2.2008622,-2.3751688,4.2266374
39_19,2025-01,2.244617,-3.1610596,4.5739884
39_19,2025-02,0.69893867,-3.417664,5.3945913
39_19,2025-03,-0.17191806,-2.8506675,5.268562
39_19,2025-04,0.0048830668,-1.9857684,4.6206746
39_19,2025-05,1.4462941,-2.9020169,4.676393
39_19,2025-06,2.31109,-3.565734,5.627692
39_19,2025-07,1.4116333,-2.9674284,4.7183175
39_19,2025-08,-1.5015304,-0.65459037,3.4536057
39_19,2025-09,0.2920789,-2.8777406,4.148274
39_19,2025-10,0.56544065,-2.1263638,3.3205478
39_19,2025-11,0.81547815,-2.5492768,3.6930776
39_19,2025-12,0.26329997,-1.1363186,3.7889261
39_19,2026-01,1.7536504,-1.883256,4.6863
39_19,2026-02,-0.4278709,-0.8508376,4.0412836
39_19,2026-03,-1.1240112,-2.1495876,5.095058
39_19,2026-04,0.037474442,-3.643716,5.323694
39_19,2026-05,1.6368856,-3.8436625,5.286403
39_19,2026-06,2.0554893,-3.9633434,5.1853266
39_19,2026-07,1.1666261,-2.0841563,4.0327215
39_19,2026-08,-1.4978149,-0.28933382,2.984188
39_20,2023-01,0.66089964,-2.2025423,4.6616426
39_20,2023-02,0.33814254,-1.7619514,5.578773
39_20,2023-03,-0.21652395,-1.483468,4.0826488
39_20,2023-04,0.58342797,-1.6258279,4.367782
39_20,2023-05,0.3358142,-2.4288623,4.264004
39_20,2023-06,2.0537553,-3.8515172,5.1553006
39_20,2023-07,0.51213837,-2.3469536,3.7355978
39_20,2023-08,-1.1757114,-0.67588854,3.4125216
39_20,2023-09,-0.2919187,-1.9128593,3.5697443
39_20,2023-10,0.036831763,-1.9860802,3.3657315
39_20,2023-11,0.64976805,-2.4366734,3.989429
39_20,2023-12,1.2148205,-2.110459,3.7808194
39_20,2024-01,1.0687201,-1.6031549,4.6454353
39_20,2024-02,0.9502682,-3.2409341,5.4523787
39_20,2024-03,-0.31072482,-2.1405513,4.7652416
39_20,2024-04,-0.75567,-1.2327409,3.9643683
39_20,2024-05,-0.004717919,-2.0288725,5.4853387
39_20,2024-06,-0.08078637,-1.2691134,3.4869006
39_20,2024-07,1.9832903,-2.9257078,4.643138
39_20,2024-08,-1.0708683,-1.3563405,3.8579593
39_20,2024-09,-0.3662875,-1.7167968,3.1320946
39_20,2024-10,-0.2520682,-2.4378052,4.2522917
39_20,2024-11,1.1877693,-2.6233277,4.2397966
39_20,2024-12,2.2008622,-2.3751688,4.2266374
39_20,2025-01,2.244617,-3.1610596,4.5739884
39_20,2025-02,0.69893867,-3.417664,5.3945913
39_20,2025-03,-0.17191806,-2.8506675,5.268562
39_20,2025-04,0.0048830668,-1.9857684,4.6206746
39_20,2025-05,1.4462941,-2.9020169,4.676393
39_20,2025-06,2.31109,-3.565734,5.627692
39_20,2025-07,1.4116333,-2.9674284,4.7183175
39_20,2025-08,-1.5015304,-0.65459037,3.4536057
39_20,2025-09,0.2920789,-2.8777406,4.148274
39_20,2025-10,0.56544065,-2.1263638,3.3205478
39_20,2025-11,0.81547815,-2.5492768,3.6930776
39_20,2025-12,0.26329997,-1.1363186,3.7889261
39_20,2026-01,1.7536504,-1.883256,4.6863
39_20,2026-02,-0.4278709,-0.8508376,4.0412836
39_20,2026-03,-1.1240112,-2.1495876,5.095058
39_20,2026-04,0.037474442,-3.643716,5.323694
39_20,2026-05,1.6368856,-3.8436625,5.286403
39_20,2026-06,2.0554893,-3.9633434,5.1853266
39_20,2026-07,1.1666261,-2.0841563,4.0327215
39_20,2026-08,-1.4978149,-0.28933382,2.984188
39_21,2023-01,0.7679277,-2.224239,4.830554
39_21,2023-02,0.38295978,-1.9518492,5.818703
39_21,2023-03,-0.1702711,-1.7101251,4.257789
39_21,2023-04,0.7388153,-1.8815327,4.5584025
39_21,2023-05,0.5407348,-2.695259,4.4921117
39_21,2023-06,2.2584102,-3.8911006,5.2729583
39_21,2023-07,0.5841283,-2.4013655,3.7972784
39_21,2023-08,-1.1507539,-0.83320963,3.5377426
39_21,2023-09,-0.20231095,-2.0035007,3.7366529
39_21,2023-10,0.15829566,-2.1979625,3.5939472
39_21,2023-11,0.75828856,-2.5865514,4.2040186
39_21,2023-12,1.3557763,-2.2794359,4.0700655
39_21,2024-01,1.2313571,-1.7850791,4.9300113
39_21,2024-02,1.1097004,-3.46503,5.7836947
39_21,2024-03,-0.16422468,-2.2410586,4.984891
39_21,2024-04,-0.68276966,-1.3363135,4.036557
39_21,2024-05,0.037715297,-2.076543,5.5421224
39_21,2024-06,0.015852626,-1.3859836,3.6132822
39_21,2024-07,2.121458,-2.9933665,4.7404594
39_21,2024-08,-1.1072215,-1.4037904,4.007472
39_21,2024-09,-0.2879753,-1.8821776,3.303837
39_21,2024-10,-0.08402855,-2.7352235,4.4690166
39_21,2024-11,1.3755785,-2.8703654,4.576798
39_21,2024-12,2.4042552,-2.5286782,4.489593
39_21,2025-01,2.5608423,-3.3106549,4.9213724
39_21,2025-02,0.8791057,-3.569511,5.651074
39_21,2025-03,-0.06941051,-3.0020976,5.478665
39_21,2025-04,0.14177272,-2.155975,4.7988744
39_21,2025-05,1.6772511,-3.0281668,4.821576
39_21,2025-06,2.4551656,-3.6058543,5.7442794
39_21,2025-07,1.493381,-2.9636166,4.7732387
39_21,2025-08,-1.6169853,-0.7654617,3.6378038
39_21,2025-09,0.37548548,-2.9907696,4.3284216
39_21,2025-10,0.6290747,-2.3216999,3.5769336
39_21,2025-11,0.9247148,-2.6551118,3.9068518
39_21,2025-12,0.3526712,-1.1913605,3.9491122
39_21,2026-01,1.8382727,-2.035135,4.890667
39_21,2026-02,-0.45572037,-0.9807378,4.2238216
39_21,2026-03,-1.0136439,-2.3445535,5.2828097
39_21,2026-04,0.36909065,-3.7687895,5.4344115
39_21,2026-05,1.878325,-3.977798,5.3727694
39_21,2026-06,2.2309532,-4.030881,5.3370175
39_21,2026-07,1.2147139,-2.1055303,4.102966
39_21,2026-08,-1.5492709,-0.4856939,3.219098
39_22,2023-01,0.7679277,-2.224239,4.830554
39_22,2023-02,0.38295978,-1.9518492,5.818703
39_22,2023-03,-0.1702711,-1.7101251,4.257789
39_22,2023-04,0.7388153,-1.8815327,4.5584025
39_22,2023-05,0.5407348,-2.695259,4.4921117
39_22,2023-06,2.2584102,-3.8911006,5.2729583
