cell_id,dist_costa_km,dist_ruta_maritima_km
76_48,105.78524278823406,167.15757754053823
76_49,114.9211027991778,177.02192561663708
76_50,124.18006781819692,186.89897258074754
76_51,133.54344160638342,196.78682555400053
76_52,142.99074130902352,206.68395202228714
76_53,152.50639576560536,216.5890983012075
76_54,162.07838954842663,226.50122910384735
76_55,171.6973225264936,235.73668507591992
76_56,180.9429705062085,244.61747396787234
76_57,189.72536974940815,253.58029493666456
76_58,198.62129183041526,262.6167639018309
76_59,207.61616324177365,271.7195474367181
76_60,216.6976804149649,280.88221216975785
76_61,225.85540888001344,290.0990976664918
76_62,235.0804587931146,299.36520900336484
76_63,244.36522189681116,308.67612583233546
76_64,253.70315775751914,318.0279252508329
76_65,263.0886195049692,327.4171162342028
76_66,272.5167112653671,336.8405837623471
76_67,281.983171073002,346.29554108633187
76_68,291.4842743188571,355.7794888424486
76_69,301.0167538059448,365.2901799383891
76_70,310.5777332806443,374.82558931604234
76_71,320.16467194050904,384.383887844151
76_72,329.77531791725556,393.96341971700747
76_73,339.40766912748984,403.5626828371319
76_74,349.05994019547063,413.180311744
76_75,358.7305343998433,422.8148384580099
76_76,368.41801979326834,432.4550917081075
76_77,378.0989626140886,442.0894550385088
77_0,124.15402389117887,257.833712582773
77_1,117.71181472155561,251.25411446141658
77_2,111.31983731942748,244.90458055388333
77_3,104.36383743935177,238.80347656248065
77_4,97.93194481122897,232.9703350902993
77_5,92.13402484971773,227.42578990750687
77_6,87.09681600242156,221.4936854285283
77_7,82.95904374563911,211.51778493106949
77_8,79.86067843973002,201.541980603113
77_9,75.54215455555328,191.56630479786992
77_10,66.97076301280154,181.5907970476565
77_11,58.34257087082724,171.6155061497676
77_12,49.91724944528157,161.6404930244501
77_13,42.030957123210385,151.6658347002588
77_14,34.656869293240725,141.69162998198968
77_15,28.160177004803543,131.71800769244447
77_16,21.762543211672043,121.7451389627608
77_17,13.440639804017824,111.7732560974123
77_18,3.8986615242998806,101.80268251667223
77_19,1.665637791033931,91.83388218355414
77_20,2.333591488419262,81.86754509471129
77_21,8.97089566435254,71.90474375109567
77_22,16.34712578142032,61.947240300049636
77_23,20.666450366206302,51.99814560311748
77_24,25.670524176330193,42.06351007251695
77_25,29.210335375069732,32.156847086783394
77_26,28.344232724867787,22.31560010563407
77_27,30.52941486446423,12.686149807390512
77_28,35.09275849457989,3.2290251295602426
77_29,41.43407651375775,0.9578963358135812
77_30,32.99647413046694,7.378886339966118
77_31,23.10652594531975,0.449023550778614
77_32,13.266549444528943,8.446817849507326
77_33,3.7228175165851285,18.236119779279043
77_34,4.144937404197689,28.02546057619094
77_35,5.402922267110893,37.81484056683335
77_36,0.7509350001304506,47.60426007686993
77_37,10.29437461893192,57.39371943103946
77_38,20.17323734720962,67.18321895314568
77_39,27.91016852794934,76.97275896606214
77_40,34.54316725359424,86.7645343106113
77_41,41.564499020494864,96.58608034105715
77_42,49.32143544370635,106.43753027517943
77_43,57.17317662861691,116.31131784501329
77_44,65.60651992893278,126.20222977063628
77_45,74.42406496013231,136.10656028838272
77_46,83.48882420376385,146.02160465301114
77_47,92.66635202150583,155.94534343607586
77_48,101.99420350277502,165.87623892905455
77_49,111.43560146243651,175.8130999043504
77_50,120.96399273000603,185.75498942845033
77_51,130.56036123473828,195.70116057111352
77_52,140.21077721006822,204.67687931359552
77_53,149.9048282251877,213.45302017276606
77_54,158.68550372942477,222.3309839053537
77_55,167.44867867981765,231.29906270712874
77_56,176.341588880595,240.34718552398195
77_57,185.34558197036466,249.46665853140024
77_58,194.4452470571131,258.64994991727775
77_59,203.62777752841978,267.8905112616856
77_60,212.88246893757994,277.1826290533529
77_61,222.20032248699835,286.52130099059093
77_62,231.57373082663835,295.9021326647297
77_63,240.99622801682582,305.32125102161524
77_64,250.4622895996661,314.7752316564233
77_65,259.9671719237778,324.26103753795206
