cell_id,Latitud,Longitud,grupo,exceso,tasa_antes,tasa_despues,ais_previo,DistanciaCostaKm,ProfundidadM
23_43,27.41892,49.8761,Top 10 % del incremento,5.472972972972973,0.0337837837837837,0.0746268656716417,4108.3,21.786666882492543,15.0
27_54,28.40991,50.28054,Top 10 % del incremento,5.439189189189189,0.0337837837837837,0.074074074074074,262.3333333333333,75.04189473219587,63.0
43_5,23.9955,51.89831,Top 10 % del incremento,5.43448275862069,0.0275862068965517,0.0504201680672268,17.433333333333334,0.7333691006223967,5.0
30_37,26.87838,50.58387,Top 10 % del incremento,5.4324324324324325,0.027027027027027,0.0533980582524271,2144.8333333333335,48.71563609562623,24.0
83_30,26.24775,55.94272,Top 10 % del incremento,5.422907488986784,0.026431718061674,0.0521327014218009,1209.6666666666667,20.920867892445788,91.0
14_65,29.4009,48.9661,Top 10 % del incremento,5.337837837837838,0.0168918918918918,0.036231884057971,2186.0333333333333,55.42249040672863,25.0
19_65,29.4009,49.47165,Top 10 % del incremento,5.324324324324325,0.027027027027027,0.0661764705882353,75.23333333333333,69.28183684572429,20.0
30_52,28.22973,50.58387,Top 10 % del incremento,5.306306306306306,0.018018018018018,0.0439024390243902,160.06666666666666,58.06704256294661,58.0
35_46,27.68919,51.08942,Top 10 % del incremento,5.295302013422819,0.0268456375838926,0.0652173913043478,268.6333333333333,40.864857534610266,69.0
64_14,24.80631,54.02163,Top 10 % del incremento,5.289655172413793,0.0241379310344827,0.0431654676258992,652.3333333333334,48.74105894912552,15.0
81_26,25.88739,55.7405,Top 10 % del incremento,5.2863436123348,0.039647577092511,0.0612244897959183,1101.0666666666666,20.93051274799182,38.0
37_43,27.41892,51.29164,Top 10 % del incremento,5.2844444444444445,0.0177777777777777,0.0430622009569378,188.66666666666666,55.98549458165528,66.0
42_41,27.23874,51.7972,Top 10 % del incremento,5.265560165975104,0.0165975103734439,0.04,289.3333333333333,65.24556087622217,45.0
47_28,26.06757,52.30275,Top 10 % del incremento,5.261818181818182,0.0072727272727272,0.0292887029288702,428.1333333333333,75.72590481252318,30.0
39_36,26.78829,51.49386,Top 10 % del incremento,5.25,0.0178571428571428,0.0428571428571428,204.2,73.94260666068857,41.0
23_66,29.49099,49.8761,Top 10 % del incremento,5.239819004524887,0.004524886877828,0.0357142857142857,55.3,46.80610513813206,26.0
