CeldaID,Longitud,Latitud,DistanciaCostaKm,DistanciaRutaKm,ProfundidadM,FranjaProfundidad,EsMar,AguasSomeras
0_75,47.55056,30.3018,43.2416497908121,138.92244463098928,,,False,False
0_76,47.55056,30.39189,49.08682546567832,147.7684091496227,,,False,False
0_77,47.55056,30.48198,56.1467108347878,156.76309462468708,,,False,False
1_0,47.65167,23.54505,342.09387821614604,435.6538475442567,,,False,False
1_1,47.65167,23.63514,337.1608572181969,427.54273575222646,,,False,False
1_2,47.65167,23.72523,332.45864607044933,419.5159075403169,,,False,False
1_3,47.65167,23.81532,327.9971697059749,411.5782927249466,,,False,False
1_4,47.65167,23.90541,323.7863775528017,403.7351517675747,,,False,False
1_5,47.65167,23.9955,317.69294920774684,395.9920966908109,,,False,False
1_6,47.65167,24.08559,311.69570548205905,387.8490322317952,,,False,False
1_7,47.65167,24.17568,305.9115966130426,379.26519155339366,,,False,False
1_8,47.65167,24.26577,300.35293391986505,370.7557745475816,,,False,False
1_9,47.65167,24.35586,295.0324579990425,362.3260228985197,,,False,False
1_10,47.65167,24.44595,289.96327791997703,353.98162606256744,,,False,False
1_11,47.65167,24.53604,285.15879300481896,345.7287622425099,,,False,False
1_12,47.65167,24.62613,280.6194762079524,337.57414256207915,,,False,False
1_13,47.65167,24.71622,276.3287476411312,329.5250584210437,,,False,False
1_14,47.65167,24.80631,272.1608698138708,321.5894318990686,,,False,False
1_15,47.65167,24.8964,267.2906471296611,313.7758689230711,,,False,False
1_16,47.65167,24.98649,262.7154308074746,306.09371470779865,,,False,False
1_17,47.65167,25.07658,258.4508852161242,298.55311071084094,,,False,False
1_18,47.65167,25.16667,254.51262417972617,291.165051998585,,,False,False
1_19,47.65167,25.25676,250.9160085184043,283.9414434858087,,,False,False
1_20,47.65167,25.34685,247.6759188875925,276.8951529771726,,,False,False
1_21,47.65167,25.43694,244.806508459126,270.0400582963743,,,False,False
1_22,47.65167,25.52703,242.3209421294883,263.39108503818164,,,False,False
1_23,47.65167,25.61712,240.2311310262824,256.96423063295185,,,False,False
1_24,47.65167,25.70721,236.6604875805911,250.77656950509476,,,False,False
1_25,47.65167,25.7973,229.8741487935776,244.8462331966205,,,False,False
1_26,47.65167,25.88739,223.33542029179355,239.1923585111491,,,False,False
1_27,47.65167,25.97748,216.8304466481466,233.83499615345565,,,False,False
1_28,47.65167,26.06757,209.382923018384,228.7949721826686,,,False,False
1_29,47.65167,26.15766,201.1267055727065,224.0936950935952,,,False,False
1_30,47.65167,26.24775,193.0429851018653,219.7529027424349,,,False,False
1_31,47.65167,26.33784,185.154350723222,215.7830274509808,,,False,False
1_32,47.65167,26.42793,177.4868110401292,212.1387008402257,,,False,False
1_33,47.65167,26.51802,170.07026635525608,208.91589045526857,,,False,False
1_34,47.65167,26.60811,162.93898761684272,206.13436327797265,,,False,False
1_35,47.65167,26.6982,156.1320611435022,203.8121826881651,,,False,False
1_36,47.65167,26.78829,149.69373345572458,201.96518916067413,,,False,False
1_37,47.65167,26.87838,143.67355869800323,200.6065035167826,,,False,False
1_38,47.65167,26.96847,138.12621483638603,199.05364235480167,,,False,False
1_39,47.65167,27.05856,133.1108218586657,190.38588969112573,,,False,False
1_40,47.65167,27.14865,128.68958099281315,181.86311309303653,,,False,False
1_41,47.65167,27.23874,124.44041346737656,173.50667156304465,,,False,False
1_42,47.65167,27.32883,120.43976881565196,165.34178027906037,,,False,False
1_43,47.65167,27.41892,117.17062541316804,157.39824448414367,,,False,False
1_44,47.65167,27.50901,114.6955397826514,149.71129555897642,,,False,False
1_45,47.65167,27.5991,111.30955352630018,142.32250700742665,,,False,False
1_46,47.65167,27.68919,106.7089750290255,135.2807341773475,,,False,False
1_47,47.65167,27.77928,102.4476860577966,128.6429665430159,,,False,False
1_48,47.65167,27.86937,99.03141414977657,122.47489985771098,,,False,False
1_49,47.65167,27.95946,94.04728875551704,116.85092843095832,,,False,False
1_50,47.65167,28.04955,89.31419566571412,111.853143171584,,,False,False
1_51,47.65167,28.13964,85.51132639820592,107.56884874966794,,,False,False
1_52,47.65167,28.22973,82.76698761660684,104.08617511509031,,,False,False
1_53,47.65167,28.31982,77.93937252276446,101.10029528146264,,,False,False
1_54,47.65167,28.40991,73.81739685592483,93.3535194558221,,,False,False
1_55,47.65167,28.5,70.89813051817723,86.09064884351763,,,False,False
1_56,47.65167,28.59009,67.46261530205794,79.44449541952287,,,False,False
1_57,47.65167,28.68018,61.821462717591565,73.58234269480556,,,False,False
1_58,47.65167,28.77027,56.890204033022975,68.70514662518558,,,False,False
1_59,47.65167,28.86036,52.87198862901069,65.03486240015059,,,False,False
1_60,47.65167,28.95045,45.643328380290455,62.78349329078036,,,False,False
1_61,47.65167,29.04054,36.53545029026129,61.13875787150727,,,False,False
1_62,47.65167,29.13063,26.59354048804437,59.13911695244341,,,False,False
1_63,47.65167,29.22072,16.82095868640203,58.7024464374555,,,False,False
1_64,47.65167,29.31081,7.875344074897131,59.54505899261159,,,False,False
1_65,47.65167,29.4009,6.539347803833745,62.03509221649801,,,False,False
1_66,47.65167,29.49099,12.65269582614074,65.98628939823286,,,False,False
1_67,47.65167,29.58108,19.811447669299064,71.15563592888009,,,False,False
1_68,47.65167,29.67117,27.02733760498719,77.29910973299104,,,False,False
1_69,47.65167,29.76126,34.15959767387133,84.20374806143252,,,False,False
1_70,47.65167,29.85135,32.18268141296696,91.69775488496651,,,False,False
1_71,47.65167,29.94144,29.464429796596328,99.64823530975336,,,False,False
1_72,47.65167,30.03153,28.168949394788186,107.9543702923519,,,False,False
1_73,47.65167,30.12162,27.59312414773148,116.54012725106853,,,False,False
1_74,47.65167,30.21171,29.91805467395536,125.3480497764159,,,False,False
1_75,47.65167,30.3018,35.100194328224944,134.3344342240393,,,False,False
1_76,47.65167,30.39189,42.09725153045035,143.46573923855533,,,False,False
1_77,47.65167,30.48198,50.15527849046223,152.71596212496482,,,False,False
2_0,47.75278,23.54505,333.09637254224583,429.5873379614333,,,False,False
