precision,recall,threshold
0.43103448275862066,0.24421320874920366,0.30711610486891383
0.4343928280358598,0.22637502654491398,0.3167701863354037
0.4417098445595855,0.21724357613081333,0.3231378626363067
0.44190064794816414,0.21724357613081333,0.34637647557916074
0.44165946413137425,0.2170312168188575,0.34969419441547017
0.44185041072200604,0.2170312168188575,0.35262593783494106
0.49387755102040815,0.12847738373327672,0.36363636363636365
0.49523809523809526,0.12146952643873433,0.36424933537514437
0.4948006932409012,0.1212571671267785,0.3652178990829485
0.49522983521248914,0.1212571671267785,0.3683086508855941
0.4956597222222222,0.1212571671267785,0.3699111552521396
0.49609035621198955,0.1212571671267785,0.3699776722440253
0.4965217391304348,0.1212571671267785,0.37044462554777663
0.4969538729329852,0.1212571671267785,0.37448559670781895
0.539119804400978,0.0936504565725207,0.42160278745644597
0.5921052631578947,0.0573370142280739,0.5372418972501554
0.5912087912087912,0.057124654916118074,0.5446860550962288
0.5903083700440529,0.05691229560416224,0.5555555555555556
0.593103448275862,0.05478870248460395,0.5562054408597834
0.5921658986175116,0.05457634317264812,0.556682540088347
0.5912240184757506,0.05436398386069229,0.5574967391447004
0.5925925925925926,0.05436398386069229,0.5576923076923077
0.6016713091922006,0.04586961138245912,0.5598131084116611
0.6005586592178771,0.04565725207050329,0.5636944802122443
0.6022408963585434,0.04565725207050329,0.5647175567372297
0.601123595505618,0.04544489275854746,0.566204653207177
0.6028169014084507,0.04544489275854746,0.5673638871535237
0.6045197740112994,0.04544489275854746,0.5683209308525821
0.603399433427762,0.04523253344659163,0.5683453237410072
0.6243654822335025,0.026120195370567,0.5711126830558436
0.6275510204081632,0.026120195370567,0.5732951537340547
0.6307692307692307,0.026120195370567,0.574468085106383
0.5694444444444444,0.008706731790189,0.6842105263157895
0.58,0.006158420046719048,0.7246742738304031
0.5918367346938775,0.006158420046719048,0.7360141792473663
0.6041666666666666,0.006158420046719048,0.7704230527670833
0.6170212765957447,0.006158420046719048,0.7714285714285715
0.47058823529411764,0.0016988744956466342,0.8333333333333334
0.5,0.0008494372478233171,0.9048960499016736
0.5714285714285714,0.0008494372478233171,0.9318108373100186
0.6666666666666666,0.0008494372478233171,0.9423089002930837
0.8,0.0008494372478233171,1.0
